ClipID,y_true,y_pred,final_score,pipeline_score,behavior_score,status
5000441001,1,1,1.0,1.0,1.0,success
5000441002,1,1,1.0,1.0,1.0,success
5000441003,1,1,1.0,1.0,1.0,success
5000441005,1,1,1.0,1.0,1.0,success
5000441006,1,1,1.0,1.0,1.0,success
5000441007,1,1,1.0,1.0,1.0,success
5000441008,1,1,1.0,1.0,1.0,success
5000441009,1,1,1.0,1.0,1.0,success
5000441010,1,1,1.0,1.0,1.0,success
5000441012,1,1,1.0,1.0,1.0,success
5000441013,1,1,1.0,1.0,1.0,success
5000441014,1,1,1.0,1.0,1.0,success
5000441015,1,1,1.0,1.0,1.0,success
5000441016,1,1,1.0,1.0,1.0,success
5000441017,1,1,1.0,1.0,1.0,success
5000441018,1,1,1.0,1.0,1.0,success
5000441021,1,1,1.0,1.0,1.0,success
5000441022,1,1,1.0,1.0,1.0,success
5000441023,1,1,1.0,1.0,1.0,success
5000441024,0,1,1.0,1.0,1.0,success
5000441027,1,1,1.0,1.0,1.0,success
5000441030,1,1,1.0,1.0,1.0,success
5000441031,1,1,1.0,1.0,1.0,success
5000441032,1,1,1.0,1.0,1.0,success
5000441033,1,1,1.0,1.0,1.0,success
5000441034,1,1,1.0,1.0,1.0,success
5000441035,1,1,1.0,1.0,1.0,success
5000441037,1,1,1.0,1.0,1.0,success
5000441038,1,1,1.0,1.0,1.0,success
5000441039,1,1,1.0,1.0,1.0,success
5000441040,1,1,1.0,1.0,1.0,success
5000441041,1,1,1.0,1.0,1.0,success
5000441042,1,1,1.0,1.0,1.0,success
5000441043,1,1,1.0,1.0,1.0,success
5000441044,1,1,1.0,1.0,1.0,success
5000441045,1,1,1.0,1.0,1.0,success
5000441046,1,1,1.0,1.0,1.0,success
5000441047,1,1,1.0,1.0,1.0,success
5000441048,1,1,1.0,1.0,1.0,success
5000441050,1,1,1.0,1.0,1.0,success
5000441051,1,1,1.0,1.0,1.0,success
5000441052,1,1,1.0,1.0,1.0,success
5000441053,1,1,1.0,1.0,1.0,success
5000441054,1,1,1.0,1.0,1.0,success
5000441055,1,1,1.0,1.0,1.0,success
5000441058,0,1,1.0,1.0,1.0,success
5000441059,1,1,1.0,1.0,1.0,success
5000441061,1,1,1.0,1.0,1.0,success
5000441062,1,1,1.0,1.0,1.0,success
5000441064,1,1,1.0,1.0,1.0,success
5000441065,1,1,1.0,1.0,1.0,success
5000441066,1,1,1.0,1.0,1.0,success
5000441067,0,1,1.0,1.0,1.0,success
5000441068,1,1,1.0,1.0,1.0,success
5000441069,1,1,1.0,1.0,1.0,success
5000441070,1,1,1.0,1.0,1.0,success
5000441071,1,1,1.0,1.0,1.0,success
5000441072,1,1,1.0,1.0,1.0,success
5000442001,1,1,1.0,1.0,1.0,success
5000442002,1,1,1.0,1.0,1.0,success
5000442003,1,1,1.0,1.0,1.0,success
5000442004,1,1,0.9466666666666667,0.8666666666666667,1.0,success
5000442005,1,1,1.0,1.0,1.0,success
5000442007,1,1,1.0,1.0,1.0,success
5000442008,1,1,1.0,1.0,1.0,success
5000442009,1,1,1.0,1.0,1.0,success
5000442010,1,1,1.0,1.0,1.0,success
5000442014,1,1,1.0,1.0,1.0,success
5000442015,1,1,1.0,1.0,1.0,success
5000442016,1,1,1.0,1.0,1.0,success
5000442019,1,1,1.0,1.0,1.0,success
5000442021,1,1,1.0,1.0,1.0,success
5000442022,1,1,1.0,1.0,1.0,success
5000442024,1,1,1.0,1.0,1.0,success
5000442025,1,1,1.0,1.0,1.0,success
5000442026,1,1,1.0,1.0,1.0,success
5000442027,1,1,1.0,1.0,1.0,success
5000442028,1,1,1.0,1.0,1.0,success
5000442029,1,1,1.0,1.0,1.0,success
5000442033,1,1,1.0,1.0,1.0,success
5000442034,1,1,1.0,1.0,1.0,success
5000442035,1,1,1.0,1.0,1.0,success
5000442036,1,1,1.0,1.0,1.0,success
5000442037,1,1,1.0,1.0,1.0,success
5000442038,1,1,1.0,1.0,1.0,success
5000442039,1,1,1.0,1.0,1.0,success
5000442040,1,1,1.0,1.0,1.0,success
5000442042,1,1,1.0,1.0,1.0,success
5000442043,1,1,1.0,1.0,1.0,success
5000442045,1,1,1.0,1.0,1.0,success
5000442047,1,1,1.0,1.0,1.0,success
5000442048,1,1,1.0,1.0,1.0,success
5000442050,1,1,1.0,1.0,1.0,success
5000442051,1,1,1.0,1.0,1.0,success
5000442052,1,1,1.0,1.0,1.0,success
5000442053,1,1,1.0,1.0,1.0,success
5000442054,1,1,1.0,1.0,1.0,success
5000442055,1,1,1.0,1.0,1.0,success
5000442056,1,1,1.0,1.0,1.0,success
5000442057,1,1,1.0,1.0,1.0,success
5000442058,1,1,1.0,1.0,1.0,success
5000442059,1,1,1.0,1.0,1.0,success
5000442060,1,1,1.0,1.0,1.0,success
5000442062,1,1,1.0,1.0,1.0,success
5000442063,1,1,1.0,1.0,1.0,success
5000442064,1,1,1.0,1.0,1.0,success
5000442065,1,1,1.0,1.0,1.0,success
5000442066,1,1,1.0,1.0,1.0,success
5000442067,1,1,1.0,1.0,1.0,success
5000442068,1,1,1.0,1.0,1.0,success
5000442069,1,1,1.0,1.0,1.0,success
5000442070,1,1,1.0,1.0,1.0,success
5000442072,1,1,1.0,1.0,1.0,success
5000442073,1,1,1.0,1.0,1.0,success
5000442074,1,1,1.0,1.0,1.0,success
5000442075,1,1,1.0,1.0,1.0,success
5000442076,1,1,1.0,1.0,1.0,success
5000442077,1,1,1.0,1.0,1.0,success
5000442078,1,1,1.0,1.0,1.0,success
5000671001,1,1,1.0,1.0,1.0,success
5000671002,1,1,1.0,1.0,1.0,success
5000671003,1,1,1.0,1.0,1.0,success
5000671004,1,1,1.0,1.0,1.0,success
5000671005,1,1,1.0,1.0,1.0,success
5000671006,1,1,1.0,1.0,1.0,success
5000671008,1,1,1.0,1.0,1.0,success
5000671009,1,1,1.0,1.0,1.0,success
5000671010,1,1,1.0,1.0,1.0,success
5000671011,1,1,1.0,1.0,1.0,success
5000671012,1,1,1.0,1.0,1.0,success
5000671013,1,1,1.0,1.0,1.0,success
5000671014,1,1,1.0,1.0,1.0,success
5000671015,1,1,1.0,1.0,1.0,success
5000671016,1,1,1.0,1.0,1.0,success
5000671017,1,1,1.0,1.0,1.0,success
5000671018,1,1,1.0,1.0,1.0,success
5000671019,1,1,1.0,1.0,1.0,success
5000671020,1,1,1.0,1.0,1.0,success
5000671022,1,1,1.0,1.0,1.0,success
5000671023,1,1,1.0,1.0,1.0,success
5000671024,1,1,1.0,1.0,1.0,success
5000671026,1,1,1.0,1.0,1.0,success
5000671027,1,1,1.0,1.0,1.0,success
5000671028,1,1,1.0,1.0,1.0,success
5000671029,1,1,1.0,1.0,1.0,success
5000671030,1,1,1.0,1.0,1.0,success
5000671031,1,1,0.9946666666666667,0.9866666666666667,1.0,success
5000671032,1,1,1.0,1.0,1.0,success
5000671033,1,1,1.0,1.0,1.0,success
5000671034,1,1,1.0,1.0,1.0,success
5000671035,1,1,1.0,1.0,1.0,success
5000671036,1,1,1.0,1.0,1.0,success
5000671037,1,1,1.0,1.0,1.0,success
5000671038,1,1,1.0,1.0,1.0,success
5000671039,1,1,1.0,1.0,1.0,success
5000671040,1,1,0.9946666666666667,0.9866666666666667,1.0,success
5000671041,0,1,1.0,1.0,1.0,success
5000671042,0,1,1.0,1.0,1.0,success
5000671043,1,1,1.0,1.0,1.0,success
5000671046,1,1,1.0,1.0,1.0,success
5000671047,1,1,1.0,1.0,1.0,success
5000671048,0,1,1.0,1.0,1.0,success
5000671049,0,1,1.0,1.0,1.0,success
5000671050,1,1,1.0,1.0,1.0,success
5000671051,1,1,1.0,1.0,1.0,success
5000671053,1,1,1.0,1.0,1.0,success
5000671055,1,1,1.0,1.0,1.0,success
5000671056,1,1,0.9893333333333334,0.9733333333333334,1.0,success
5000671057,1,1,0.9946666666666667,0.9866666666666667,1.0,success
5000671058,0,1,0.9893333333333334,0.9733333333333334,1.0,success
5000671059,1,1,0.9093333333333333,0.7733333333333333,1.0,success
5000671060,1,1,1.0,1.0,1.0,success
5000671061,0,1,1.0,1.0,1.0,success
5000671062,1,1,1.0,1.0,1.0,success
5000671063,1,1,1.0,1.0,1.0,success
5000671064,1,1,1.0,1.0,1.0,success
5000671065,1,1,1.0,1.0,1.0,success
5000671066,1,1,1.0,1.0,1.0,success
5000671067,1,1,1.0,1.0,1.0,success
5000671069,0,1,1.0,1.0,1.0,success
5000671070,0,1,1.0,1.0,1.0,success
5000671071,1,1,1.0,1.0,1.0,success
5000672002,1,1,1.0,1.0,1.0,success
5000672004,1,1,1.0,1.0,1.0,success
5000672005,1,1,1.0,1.0,1.0,success
5000672006,1,1,1.0,1.0,1.0,success
5000672007,1,1,1.0,1.0,1.0,success
5000672008,1,1,1.0,1.0,1.0,success
5000672010,1,1,1.0,1.0,1.0,success
5000672011,1,1,1.0,1.0,1.0,success
5000672012,1,1,1.0,1.0,1.0,success
5000672013,1,1,1.0,1.0,1.0,success
5000672014,1,1,1.0,1.0,1.0,success
5000672016,1,1,1.0,1.0,1.0,success
5000672017,1,1,1.0,1.0,1.0,success
5000672019,1,1,1.0,1.0,1.0,success
5000672020,1,1,1.0,1.0,1.0,success
5000672021,1,1,1.0,1.0,1.0,success
5000672022,1,1,1.0,1.0,1.0,success
5000672023,1,1,1.0,1.0,1.0,success
5000672024,1,1,1.0,1.0,1.0,success
5000672025,1,1,1.0,1.0,1.0,success
5000672026,1,1,1.0,1.0,1.0,success
5000672027,1,1,0.9093333333333333,0.7733333333333333,1.0,success
5000672030,1,1,1.0,1.0,1.0,success
5000672031,1,1,1.0,1.0,1.0,success
5000672033,1,1,1.0,1.0,1.0,success
5000672034,1,1,1.0,1.0,1.0,success
5000672035,1,1,1.0,1.0,1.0,success
5000672036,1,1,1.0,1.0,1.0,success
5000672038,1,1,1.0,1.0,1.0,success
5000672042,1,1,1.0,1.0,1.0,success
5000672043,1,1,1.0,1.0,1.0,success
5000672044,1,1,1.0,1.0,1.0,success
5000672045,1,1,1.0,1.0,1.0,success
5000672046,1,1,1.0,1.0,1.0,success
5000672047,1,1,1.0,1.0,1.0,success
5000672048,1,1,1.0,1.0,1.0,success
5000672049,1,1,1.0,1.0,1.0,success
5000672050,1,1,1.0,1.0,1.0,success
5000672051,1,1,1.0,1.0,1.0,success
5000672052,1,1,1.0,1.0,1.0,success
5000672053,1,1,1.0,1.0,1.0,success
5000672054,1,1,1.0,1.0,1.0,success
5000672055,1,1,1.0,1.0,1.0,success
5000672056,1,1,1.0,1.0,1.0,success
5000672057,1,1,1.0,1.0,1.0,success
5000672058,1,1,1.0,1.0,1.0,success
5000672059,1,1,1.0,1.0,1.0,success
5000672060,1,1,1.0,1.0,1.0,success
5000672062,1,1,1.0,1.0,1.0,success
5000672064,1,1,1.0,1.0,1.0,success
5000672065,1,1,1.0,1.0,1.0,success
5000672066,1,1,1.0,1.0,1.0,success
5000672067,1,1,1.0,1.0,1.0,success
5000672068,1,1,1.0,1.0,1.0,success
5000672070,1,1,1.0,1.0,1.0,success
5000672071,1,1,1.0,1.0,1.0,success
5000672072,1,1,0.984,0.96,1.0,success
5000672074,1,1,1.0,1.0,1.0,success
5000672075,1,1,1.0,1.0,1.0,success
5000672076,1,1,1.0,1.0,1.0,success
5000672077,1,1,1.0,1.0,1.0,success
5000672081,1,1,1.0,1.0,1.0,success
5000672082,1,1,1.0,1.0,1.0,success
5000951001,1,1,1.0,1.0,1.0,success
5000951002,1,1,1.0,1.0,1.0,success
5000951003,1,1,1.0,1.0,1.0,success
5000951004,1,1,1.0,1.0,1.0,success
5000951005,1,1,1.0,1.0,1.0,success
5000951006,1,1,1.0,1.0,1.0,success
5000951007,1,1,1.0,1.0,1.0,success
5000951008,1,1,1.0,1.0,1.0,success
5000951009,1,1,1.0,1.0,1.0,success
5000951010,1,1,1.0,1.0,1.0,success
5000951011,1,1,1.0,1.0,1.0,success
5000951012,1,1,1.0,1.0,1.0,success
5000951013,1,1,1.0,1.0,1.0,success
5000951015,1,1,1.0,1.0,1.0,success
5000951016,1,1,1.0,1.0,1.0,success
5000951017,1,1,1.0,1.0,1.0,success
5000951018,1,1,1.0,1.0,1.0,success
5000951019,0,1,1.0,1.0,1.0,success
5000951021,1,1,1.0,1.0,1.0,success
5000951023,0,1,1.0,1.0,1.0,success
5000951024,0,1,1.0,1.0,1.0,success
5000951025,1,1,1.0,1.0,1.0,success
5000951027,0,1,1.0,1.0,1.0,success
5000951028,1,1,1.0,1.0,1.0,success
5000951033,1,1,1.0,1.0,1.0,success
5000951034,1,1,1.0,1.0,1.0,success
5000951035,1,1,1.0,1.0,1.0,success
5000951037,1,1,1.0,1.0,1.0,success
5000951039,1,1,1.0,1.0,1.0,success
5000951040,1,1,1.0,1.0,1.0,success
5000951042,1,1,1.0,1.0,1.0,success
5000951043,1,1,1.0,1.0,1.0,success
5000951044,1,1,1.0,1.0,1.0,success
5000951045,1,1,1.0,1.0,1.0,success
5000951047,1,1,1.0,1.0,1.0,success
5000951049,1,1,1.0,1.0,1.0,success
5000951051,1,1,1.0,1.0,1.0,success
5000951052,1,1,1.0,1.0,1.0,success
5000951053,1,1,1.0,1.0,1.0,success
5000951054,1,1,1.0,1.0,1.0,success
5000951055,1,1,1.0,1.0,1.0,success
5000951056,1,1,1.0,1.0,1.0,success
5000951057,1,1,1.0,1.0,1.0,success
5000951058,1,1,1.0,1.0,1.0,success
5000951060,1,1,1.0,1.0,1.0,success
5000951061,1,1,1.0,1.0,1.0,success
5000951062,1,1,1.0,1.0,1.0,success
5000951063,1,1,1.0,1.0,1.0,success
5000951065,1,1,1.0,1.0,1.0,success
5000951066,1,1,1.0,1.0,1.0,success
5000951067,1,1,1.0,1.0,1.0,success
5000952002,1,1,1.0,1.0,1.0,success
5000952003,1,1,1.0,1.0,1.0,success
5000952004,1,1,1.0,1.0,1.0,success
5000952005,1,1,1.0,1.0,1.0,success
5000952007,1,1,1.0,1.0,1.0,success
5000952008,1,1,1.0,1.0,1.0,success
5000952011,1,1,1.0,1.0,1.0,success
5000952013,1,1,1.0,1.0,1.0,success
5000952014,1,1,1.0,1.0,1.0,success
5000952015,1,1,1.0,1.0,1.0,success
5000952016,1,1,1.0,1.0,1.0,success
5000952017,1,1,1.0,1.0,1.0,success
5000952018,1,1,1.0,1.0,1.0,success
5000952020,1,1,1.0,1.0,1.0,success
5000952021,1,1,1.0,1.0,1.0,success
5000952022,1,1,1.0,1.0,1.0,success
5000952023,1,1,1.0,1.0,1.0,success
5000952024,1,1,1.0,1.0,1.0,success
5000952025,1,1,1.0,1.0,1.0,success
5000952026,1,1,1.0,1.0,1.0,success
5000952027,1,1,1.0,1.0,1.0,success
5000952028,1,1,1.0,1.0,1.0,success
5000952029,1,1,1.0,1.0,1.0,success
5000952031,1,1,1.0,1.0,1.0,success
5000952032,1,1,1.0,1.0,1.0,success
5000952033,1,1,1.0,1.0,1.0,success
5000952034,0,1,1.0,1.0,1.0,success
5000952035,1,1,1.0,1.0,1.0,success
5000952036,1,1,1.0,1.0,1.0,success
5000952038,1,1,1.0,1.0,1.0,success
5000952040,1,1,1.0,1.0,1.0,success
5000952041,1,1,1.0,1.0,1.0,success
5000952042,1,1,1.0,1.0,1.0,success
5000952044,1,1,1.0,1.0,1.0,success
5000952045,1,1,1.0,1.0,1.0,success
5000952046,1,1,1.0,1.0,1.0,success
5000952048,1,1,1.0,1.0,1.0,success
5000952050,1,1,1.0,1.0,1.0,success
5000952052,1,1,1.0,1.0,1.0,success
5000952053,1,1,1.0,1.0,1.0,success
5000952054,1,1,1.0,1.0,1.0,success
5000952055,1,1,1.0,1.0,1.0,success
5000952060,1,1,1.0,1.0,1.0,success
5000952061,1,1,1.0,1.0,1.0,success
5000952062,0,1,1.0,1.0,1.0,success
5000952063,1,1,1.0,1.0,1.0,success
5000952064,1,1,1.0,1.0,1.0,success
5000952065,1,1,1.0,1.0,1.0,success
5000952066,1,1,1.0,1.0,1.0,success
5000952068,1,1,1.0,1.0,1.0,success
5000952069,1,1,1.0,1.0,1.0,success
5000952070,1,1,1.0,1.0,1.0,success
5000952071,1,1,1.0,1.0,1.0,success
5000952072,1,1,1.0,1.0,1.0,success
5000952073,1,1,1.0,1.0,1.0,success
5000952075,1,1,1.0,1.0,1.0,success
5000952076,1,1,1.0,1.0,1.0,success
5000952077,1,1,1.0,1.0,1.0,success
5000952078,1,1,1.0,1.0,1.0,success
5000952080,1,1,1.0,1.0,1.0,success
5000952083,0,1,1.0,1.0,1.0,success
5100091001,1,1,0.9893333333333334,0.9733333333333334,1.0,success
5100091003,1,1,0.9893333333333334,0.9733333333333334,1.0,success
5100091004,1,1,0.9786666666666667,0.9466666666666667,1.0,success
5100091005,1,1,1.0,1.0,1.0,success
5100091006,1,1,1.0,1.0,1.0,success
5100091007,1,1,0.968,0.92,1.0,success
5100091008,1,1,0.968,0.92,1.0,success
5100091009,1,1,0.9359999999999999,0.84,1.0,success
5100091010,1,1,0.968,0.92,1.0,success
5100091012,1,1,0.9306666666666666,0.8266666666666667,1.0,success
5100091017,1,1,1.0,1.0,1.0,success
5100091019,1,1,1.0,1.0,1.0,success
5100091020,1,1,1.0,1.0,1.0,success
5100091025,1,1,1.0,1.0,1.0,success
5100091026,1,1,1.0,1.0,1.0,success
5100091027,1,1,1.0,1.0,1.0,success
5100091028,1,1,1.0,1.0,1.0,success
5100091032,1,1,1.0,1.0,1.0,success
5100091033,1,1,1.0,1.0,1.0,success
5100091034,1,1,0.9733333333333334,0.9333333333333333,1.0,success
5100091035,1,1,1.0,1.0,1.0,success
5100091036,1,1,1.0,1.0,1.0,success
5100091038,1,1,0.9786666666666667,0.9466666666666667,1.0,success
5100091039,1,1,1.0,1.0,1.0,success
5100091042,1,1,1.0,1.0,1.0,success
5100091046,1,1,1.0,1.0,1.0,success
5100091049,0,1,1.0,1.0,1.0,success
5100091050,1,1,1.0,1.0,1.0,success
5100091051,1,1,0.9946666666666667,0.9866666666666667,1.0,success
5100091053,1,1,1.0,1.0,1.0,success
5100091055,1,1,1.0,1.0,1.0,success
5100091056,1,1,1.0,1.0,1.0,success
5100091057,1,1,1.0,1.0,1.0,success
5100091058,1,1,1.0,1.0,1.0,success
5100091059,1,1,0.9946666666666667,0.9866666666666667,1.0,success
5100091062,1,1,1.0,1.0,1.0,success
5100091064,1,1,1.0,1.0,1.0,success
5100091065,1,1,1.0,1.0,1.0,success
5100091066,1,1,1.0,1.0,1.0,success
5100091067,1,1,1.0,1.0,1.0,success
5100091068,1,1,1.0,1.0,1.0,success
5100091069,1,1,1.0,1.0,1.0,success
5100092002,1,1,1.0,1.0,1.0,success
5100092003,1,1,1.0,1.0,1.0,success
5100092005,1,1,1.0,1.0,1.0,success
5100092006,1,1,1.0,1.0,1.0,success
5100092008,1,1,1.0,1.0,1.0,success
5100092010,1,1,1.0,1.0,1.0,success
5100092011,1,1,1.0,1.0,1.0,success
5100092013,1,1,1.0,1.0,1.0,success
5100092017,1,1,1.0,1.0,1.0,success
5100092019,1,1,1.0,1.0,1.0,success
5100092021,1,1,1.0,1.0,1.0,success
5100092022,1,1,1.0,1.0,1.0,success
5100092023,1,1,1.0,1.0,1.0,success
5100092026,1,1,1.0,1.0,1.0,success
5100092027,1,1,0.9946666666666667,0.9866666666666667,1.0,success
5100092032,1,1,1.0,1.0,1.0,success
5100092033,1,1,1.0,1.0,1.0,success
5100092034,1,1,1.0,1.0,1.0,success
5100092035,1,1,1.0,1.0,1.0,success
5100092037,1,1,1.0,1.0,1.0,success
5100092038,1,1,1.0,1.0,1.0,success
5100092039,1,1,1.0,1.0,1.0,success
5100092040,1,1,1.0,1.0,1.0,success
5100092041,1,1,1.0,1.0,1.0,success
5100092042,1,1,1.0,1.0,1.0,success
5100092043,1,1,1.0,1.0,1.0,success
5100092044,1,1,1.0,1.0,1.0,success
5100092045,1,1,1.0,1.0,1.0,success
5100092053,1,1,1.0,1.0,1.0,success
5100092056,1,1,1.0,1.0,1.0,success
5100092057,1,1,1.0,1.0,1.0,success
5100092060,1,1,1.0,1.0,1.0,success
5100092061,1,1,1.0,1.0,1.0,success
5100092062,1,1,1.0,1.0,1.0,success
5100092063,1,1,1.0,1.0,1.0,success
5100092064,1,1,1.0,1.0,1.0,success
5100092065,1,1,1.0,1.0,1.0,success
5100092067,1,1,1.0,1.0,1.0,success
5100092068,1,1,1.0,1.0,1.0,success
5100092069,1,1,1.0,1.0,1.0,success
5100092071,1,1,0.9893333333333334,0.9733333333333334,1.0,success
5100092072,1,1,1.0,1.0,1.0,success
5100341002,1,1,1.0,1.0,1.0,success
5100341003,1,1,1.0,1.0,1.0,success
5100341004,1,1,1.0,1.0,1.0,success
5100341005,1,1,1.0,1.0,1.0,success
5100341006,1,1,1.0,1.0,1.0,success
5100341008,1,1,1.0,1.0,1.0,success
5100341009,1,1,1.0,1.0,1.0,success
5100341010,1,1,1.0,1.0,1.0,success
5100341012,1,1,1.0,1.0,1.0,success
5100341013,1,1,1.0,1.0,1.0,success
5100341014,1,1,1.0,1.0,1.0,success
5100341015,1,1,1.0,1.0,1.0,success
5100341016,1,1,1.0,1.0,1.0,success
5100341017,1,1,1.0,1.0,1.0,success
5100341019,1,1,1.0,1.0,1.0,success
5100341020,1,1,1.0,1.0,1.0,success
5100341021,1,1,1.0,1.0,1.0,success
5100341022,1,1,1.0,1.0,1.0,success
5100341023,1,1,1.0,1.0,1.0,success
5100341024,1,1,1.0,1.0,1.0,success
5100341025,1,1,1.0,1.0,1.0,success
5100341026,1,1,1.0,1.0,1.0,success
5100341027,1,1,1.0,1.0,1.0,success
5100341028,1,1,1.0,1.0,1.0,success
5100341030,1,1,1.0,1.0,1.0,success
5100341031,1,1,1.0,1.0,1.0,success
5100341032,1,1,1.0,1.0,1.0,success
5100341033,1,1,1.0,1.0,1.0,success
5100341034,1,1,1.0,1.0,1.0,success
5100341035,1,1,1.0,1.0,1.0,success
5100341037,1,1,1.0,1.0,1.0,success
